\\ start/end is year-month-day
\\ used TDSB dates
school_year,break,start,end
2026,summer,2026-06-26,2026-09-07
2026,spring,2026-03-13,2026-03-17
2025,winter, 2025-12-26,2026-01-06
2025,summer,2025-06-28,2025-09-01
2025,spring,2025-03-10,2025-03-14
2024,winter,2024-12-23,2025-01-03
2024,summer,2024-06-29,2024-09-02
2024,spring,2024-03-11,2024-03-15
2023,winter,2023-12-25,2024-01-05
2023,summer,2023-06-30,2023-09-04
2023,spring,2023-03-13,2023-03-17
2022,winter,2022-12-26,2023-01-06
2022,summer,2022-07-01,2022-09-05
2022,spring,2022-04-14,2022-04-18
2021,winter,2021-12-20,2021-12-31
2021,summer,2021-06-30,2021-09-08
2021,spring,2021-04-12,2021-04-16
2020,winter,2020-12-21,2021-01-01
2020,summer,2020-06-26,2020-09-07
2020,spring,2020-03-16,2020-03-20
2019,winter,2019-12-23,2020-01-03
2019,summer,2019-06-28,2019-09-02
2019,spring,2019-03-11,2019-03-15
2018,winter,2018-12-24,2019-01-04
2018,summer,2018-06-29,2018-09-03
2018,spring,2018-03-12,2018-03-16
2017,winter,2017-12-25,2018-01-05
2017,summer,2017-06-30,2017-09-04
2017,spring,2017-03-13,2027-03-17
2016,winter,2016-12-26,2017-01-06
2016,summer,2016-06-30,2016-09-05
2016,spring,2016-03-14,2016-03-18
2015,winter,2015-12-21,2016-01-01
2015,summer,2015-06-24,2015-09-07
2015,spring,2015-03-16,2015-03-20
2014,winter,2014-12-22,2015-01-02
