// Battery electric and plug-in hybrid electric vehicle registrations
// in Ontario
quarter,year,bev_registration,phev_registration
1,2017,595,725
2,2017,832,1257
3,2017,950,1179
4,2017,1186,1454
1,2018,928,1819
2,2018,3617,3332
3,2018,2526,2652
4,2018,1145,741
1,2019,850,493
2,2019,1992,883
3,2019,2181,968
4,2019,1539,739
1,2020,1184,528
2,2020,1337,424
3,2020,2807,761
4,2020,2833,643
1,2021,2600,762
2,2021,3762,1386
3,2021,3672,1499
4,2021,4787,1342
1,2022,5686,1438
2,2022,7875,1659
3,2022,9716,1297
4,2022,9506,1485
1,2023,6760,1760
2,2023,9486,3311
3,2023,11458,3252
4,2023,10931,3174
1,2024,8144,2882
2,2024,10462,3908
3,2024,11771,4175
4,2024,11282,3969
1,2025,8450,3556
2,2025,7530,4164
3,2025,7426,4464
4,2025,7845,3774
1,2026,8953,3655
