// Ontario population size
quarter,year,population_size
1,2015,13657423
2,2015,13669290
3,2015,13709293
4,2015,13759762
1,2016,13774364
2,2016,13816652
3,2016,13876500
4,2016,13948180
1,2017,13975516
2,2017,14012209
3,2017,14078499
4,2017,14161084
1,2018,14199811
2,2018,14251136
3,2018,14326746
4,2018,14413055
1,2019,14449986
2,2019,14493612
3,2019,14573565
4,2019,14666727
1,2020,14718155
2,2020,14752374
3,2020,14761811
4,2020,14757582
1,2021,14772726
2,2021,14808093
3,2021,14842488
4,2021,14947417
1,2022,14997903
2,2022,15051975
3,2022,15155836
4,2022,15305369
1,2023,15407970
2,2023,15495050
3,2023,15632481	
4,2023,15823956
1,2024,15946146
2,2024,16046534
3,2024,16144797
4,2024,16228152
1,2025,16255550
2,2025,16256538
3,2025,16258260
4,2025,16191372
1,2026,16136480
2,2026,16103890
