,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
rank_1,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw,west_mw
rank_2,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,northwest_temp,northwest_temp,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,essa_mw,monthly_min_mw
rank_3,essa_mw,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,monthly_min_mw,essa_mw,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,northwest_temp,essa_mw
rank_4,northwest_temp,essa_mw,essa_mw,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,essa_mw,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,northwest_temp
rank_5,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,essa_mw,essa_mw,essa_mw,essa_mw,northeast_dewpoint_temp,monthly_min_mw,monthly_min_mw,monthly_min_mw,monthly_min_mw,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp,northeast_dewpoint_temp
rank_6,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw,southwest_mw
rank_7,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator,northwest_snow_indicator
rank_8,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw,niagara_mw
rank_9,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,niagara_mw,niagara_mw,niagara_mw,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw
rank_10,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,monthly_peak_mw,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp
rank_11,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_dewpoint_temp,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs
rank_12,manufacturing_output,manufacturing_output,manufacturing_output,manufacturing_output,manufacturing_output,manufacturing_output,manufacturing_output,population_size,population_size,population_size,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,southwest_dewpoint_temp,southwest_dewpoint_temp,southwest_dewpoint_temp,southwest_dewpoint_temp,southwest_dewpoint_temp,northwest_cooling_deg_hrs,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,northeast_cooling_deg_hrs,population_size,manufacturing_output
rank_13,population_size,population_size,population_size,population_size,population_size,population_size,population_size,manufacturing_output,manufacturing_output,northeast_cooling_deg_hrs,southwest_dewpoint_temp,southwest_dewpoint_temp,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,northwest_cooling_deg_hrs,southwest_dewpoint_temp,southwest_dewpoint_temp,southwest_dewpoint_temp,southwest_dewpoint_temp,southwest_dewpoint_temp,manufacturing_output,population_size
