Horizon,Validation MAE,Validation MAPE,Validation RMSE,Validation R2,Test MAE,Test MAPE,Test RMSE,Test R2
1,162.40022441343908,1.0202180894951023,211.6068259694806,0.9908898617880512,218.34614001130103,1.3044369158023652,284.9109383604049,0.9841678604457709
2,239.76978290521333,1.506188081648118,313.8619953084463,0.9799573644037481,353.62861647370073,2.1104527350516755,447.2507657421787,0.96099093838539
3,295.09720281417435,1.851157285573869,388.90097020708606,0.9692262271192249,452.6159882845243,2.7068516572483348,567.3422824927499,0.9372434777515205
4,331.5182366255914,2.075786511384206,439.5034977057858,0.960694428125121,525.9922390703583,3.1332357466748486,660.757761091455,0.9148956074138845
5,366.40409303483386,2.288829412095008,489.3231321413785,0.9512755009023184,595.6120906880539,3.5468240610265913,747.5047289699731,0.8911001765009512
6,392.2413723619899,2.4466889584837737,525.3777435854606,0.9438270663568991,635.5097932227428,3.7757052120217316,802.6946352403878,0.8744315400982494
7,414.52675694414756,2.58824662092452,555.7569936182663,0.9371399412633401,661.5000770631885,3.931928487439129,831.6205298042871,0.8652069304773625
8,429.3531116184664,2.680493870614192,577.7707777928292,0.9320586377909404,651.035447780393,3.860723443061367,826.5157514729768,0.8668428069768083
9,435.61025854859565,2.7183147881038705,590.824749165262,0.9289516282409148,649.020945283499,3.857083318087837,830.4287046671791,0.8655722534605085
10,441.77222247456393,2.75470910088097,601.673625140791,0.9263162300433366,643.6180267754236,3.8242635841863986,824.94377300009,0.8673479817255263
11,451.5496551750242,2.8146222981091205,612.4529001024591,0.9236506629025356,662.7216609771659,3.9308350262065757,848.700475445039,0.859609962598677
12,460.43389427786923,2.8679426281618197,624.6527360946097,0.9205780051006288,675.9618904407032,3.990733767619977,868.1838551281612,0.8531095478630698
13,466.9374092126404,2.9071350795907525,630.5840321724761,0.9190623220808857,686.1756375312463,4.048022908693836,880.469432205567,0.8489564962903711
14,478.7642801670087,2.978960937534159,642.6917137183666,0.915924290901051,692.5246740192043,4.0762317297177955,890.2093329527263,0.8456364386883521
15,487.3526234485437,3.027764582358796,656.5490792984294,0.9122596597534247,718.0535172855422,4.2094555448210125,922.308198519746,0.8343466321163565
16,495.6417171758329,3.083165955835344,667.9771768425256,0.9091788478249514,733.8902187518711,4.301200190533717,944.3055875328239,0.8264010721022552
17,499.88525891597556,3.117273749705562,672.3753779806173,0.90798044372187,731.8141549290505,4.290112080050284,944.7473514073077,0.8262938465539522
18,496.94580940911067,3.1054311790923084,667.4820512581783,0.9093171574796682,729.2358183853356,4.281583071194889,941.5543295176535,0.8275010352978861
19,499.0997728590437,3.126684360101221,668.1534273365735,0.90913725831939,708.9526648427209,4.170669688486069,929.0736999442828,0.8320805054384337
20,506.1788626208568,3.1727903822132077,679.0396961163648,0.9061541128237167,719.446971521936,4.229776005715316,941.4070805900425,0.8276194408908724
21,499.4325749388145,3.130507878451442,673.414229257743,0.9077033496339169,666.0433661107203,3.9317614790853272,884.3118146991217,0.8479073495950353
22,494.80050142899637,3.1099761728962543,672.1442515990047,0.9080506554868467,610.9751281190127,3.6252508988281105,825.7909206303735,0.8673716807952031
23,501.88178661953515,3.1558316763068763,688.8110133887416,0.9034318143964433,585.4845204728475,3.500365435161094,806.1306340825672,0.8736130682437329
24,507.47357920843666,3.188348899593497,696.7515952603935,0.9011887289289372,597.8105419635373,3.5817596870215045,813.0417574813541,0.871445508828709
